carrier,departure_time,stops,source,destination,itinerary_type,travel_date,days_before_travel,price
IndiGo,23:25,Non-stop,SIN,DEL,one-way,2020-06-29,74,Price unavailable
Air India,08:35,Non-stop,SIN,DEL,one-way,2020-06-30,75,370
Vistara,09:30,Non-stop,SIN,DEL,one-way,2020-06-30,75,477
Singapore Airlines,02:35,Non-stop,SIN,DEL,one-way,2020-06-30,75,582
Singapore Airlines,16:50,Non-stop,SIN,DEL,one-way,2020-06-30,75,582
IndiGo,23:25,Non-stop,SIN,DEL,one-way,2020-06-30,75,Price unavailable
Air India,08:35,Non-stop,SIN,DEL,one-way,2020-07-01,76,290
Vistara,09:30,Non-stop,SIN,DEL,one-way,2020-07-01,76,302
Singapore Airlines,02:35,Non-stop,SIN,DEL,one-way,2020-07-01,76,582
Singapore Airlines,16:50,Non-stop,SIN,DEL,one-way,2020-07-01,76,582
IndiGo,23:25,Non-stop,SIN,DEL,one-way,2020-07-01,76,Price unavailable
Vistara,09:30,Non-stop,SIN,DEL,one-way,2020-07-02,77,261
Air India,08:35,Non-stop,SIN,DEL,one-way,2020-07-02,77,290
Singapore Airlines,02:35,Non-stop,SIN,DEL,one-way,2020-07-02,77,582
Singapore Airlines,16:50,Non-stop,SIN,DEL,one-way,2020-07-02,77,582
IndiGo,23:25,Non-stop,SIN,DEL,one-way,2020-07-02,77,Price unavailable
Vistara,09:30,Non-stop,SIN,DEL,one-way,2020-07-03,78,271
Air India,08:35,Non-stop,SIN,DEL,one-way,2020-07-03,78,300
Singapore Airlines,02:35,Non-stop,SIN,DEL,one-way,2020-07-03,78,582
Singapore Airlines,16:50,Non-stop,SIN,DEL,one-way,2020-07-03,78,582
IndiGo,23:25,Non-stop,SIN,DEL,one-way,2020-07-03,78,Price unavailable
Air India,08:35,Non-stop,SIN,DEL,one-way,2020-07-04,79,300
Vistara,09:30,Non-stop,SIN,DEL,one-way,2020-07-04,79,416
Singapore Airlines,02:35,Non-stop,SIN,DEL,one-way,2020-07-04,79,582
Singapore Airlines,16:50,Non-stop,SIN,DEL,one-way,2020-07-04,79,582
IndiGo,23:25,Non-stop,SIN,DEL,one-way,2020-07-04,79,Price unavailable
Air India,08:35,Non-stop,SIN,DEL,one-way,2020-07-05,80,300
Vistara,09:30,Non-stop,SIN,DEL,one-way,2020-07-05,80,312
Singapore Airlines,02:35,Non-stop,SIN,DEL,one-way,2020-07-05,80,582
Singapore Airlines,16:50,Non-stop,SIN,DEL,one-way,2020-07-05,80,582
IndiGo,23:25,Non-stop,SIN,DEL,one-way,2020-07-05,80,Price unavailable
Vistara,09:30,Non-stop,SIN,DEL,one-way,2020-07-06,81,261
Air India,08:35,Non-stop,SIN,DEL,one-way,2020-07-06,81,290
Singapore Airlines,02:35,Non-stop,SIN,DEL,one-way,2020-07-06,81,582
Singapore Airlines,16:50,Non-stop,SIN,DEL,one-way,2020-07-06,81,582
IndiGo,23:25,Non-stop,SIN,DEL,one-way,2020-07-06,81,Price unavailable
Vistara,09:30,Non-stop,SIN,DEL,one-way,2020-07-07,82,261
Air India,08:35,Non-stop,SIN,DEL,one-way,2020-07-07,82,290
Singapore Airlines,02:35,Non-stop,SIN,DEL,one-way,2020-07-07,82,582
Singapore Airlines,16:50,Non-stop,SIN,DEL,one-way,2020-07-07,82,582
IndiGo,23:25,Non-stop,SIN,DEL,one-way,2020-07-07,82,Price unavailable
Vistara,09:30,Non-stop,SIN,DEL,one-way,2020-07-08,83,261
Air India,08:35,Non-stop,SIN,DEL,one-way,2020-07-08,83,290
Singapore Airlines,02:35,Non-stop,SIN,DEL,one-way,2020-07-08,83,582
Singapore Airlines,16:50,Non-stop,SIN,DEL,one-way,2020-07-08,83,582
IndiGo,23:25,Non-stop,SIN,DEL,one-way,2020-07-08,83,Price unavailable
Vistara,09:30,Non-stop,SIN,DEL,one-way,2020-07-09,84,261
Air India,08:35,Non-stop,SIN,DEL,one-way,2020-07-09,84,290
Singapore Airlines,02:35,Non-stop,SIN,DEL,one-way,2020-07-09,84,582
Singapore Airlines,16:50,Non-stop,SIN,DEL,one-way,2020-07-09,84,582
IndiGo,23:25,Non-stop,SIN,DEL,one-way,2020-07-09,84,Price unavailable
Vistara,09:30,Non-stop,SIN,DEL,one-way,2020-07-10,85,271
